
In [3]: s.strip_dirs().sort_stats("time").print_stats()                                                                                                                                                     
Wed Dec 26 21:55:21 2018    Profile.prof

         181559334 function calls (177492916 primitive calls) in 5626.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89 1804.680   20.277 1804.680   20.277 {built-in method scipy.signal.sigtools._medfilt2d}
      268 1037.329    3.871 1037.329    3.871 {built-in method scipy.ndimage._nd_image.geometric_transform}
    13400    0.068    0.000    1.301    0.000 quantity.py:1066(__truediv__)
      466    0.067    0.000    0.810    0.002 <frozen importlib._bootstrap_external>:793(get_code)
   346929    0.067    0.000    0.067    0.000 {method 'values' of 'dict' objects}
    36627    0.067    0.000    0.813    0.000 fromnumeric.py:1933(any)
    82540    0.066    0.000    0.117    0.000 metadata.py:49(get)
   263547    0.066    0.000    0.066    0.000 {method 'rstrip' of 'str' objects}
    12474    0.065    0.000    0.114    0.000 header.py:1314(index)
    43975    0.065    0.000    0.094    0.000 locale.py:384(normalize)
    39660    0.065    0.000    0.092    0.000 generic.py:449(_parse_unit)
   141684    0.065    0.000    0.082    0.000 card.py:1252(_pad)
    22244    0.065    0.000    1.187    0.000 angles.py:83(__new__)
    39128    0.064    0.000    0.573    0.000 core.py:791(_is_equivalent)
    29480    0.063    0.000    0.160    0.000 baseframe.py:667(shape)
     5360    0.062    0.000    1.698    0.000 mapbase.py:703(scale)
      804    0.061    0.000    0.259    0.000 {method 'copy' of 'collections.OrderedDict' objects}
    15544    0.061    0.000    5.712    0.000 core.py:295(_init_from_vals)
     2680    0.061    0.000    0.146    0.000 wcs.py:358(__init__)
   106853    0.061    0.000    0.107    0.000 metadata.py:41(__getitem__)
    31356    0.061    0.000    0.972    0.000 angles.py:130(_set_unit)
     2680    0.060    0.000   10.017    0.004 sky_coordinate.py:219(__init__)
    60032    0.060    0.000    7.667    0.000 baseframe.py:811(representation_info)
    98284    0.060    0.000    0.375    0.000 card.py:928(_format_comment)
       66    0.060    0.001    0.060    0.001 {built-in method posix.listdir}
     9648    0.060    0.000    0.860    0.000 quantity.py:597(__array_ufunc__)
    39660    0.059    0.000    0.210    0.000 generic.py:464(parse)
     1876    0.059    0.000    0.116    0.000 core.py:19478(dtf2d)
     1744    0.059    0.000    1.784    0.001 file.py:516(_open_filename)
     9424    0.058    0.000    1.448    0.000 header.py:841(set)
    84508    0.058    0.000    0.086    0.000 core.py:537(<listcomp>)
     1608    0.058    0.000    0.058    0.000 {method 'sub' of 'astropy.wcs.Wcsprm' objects}
    14394    0.058    0.000    0.601    0.000 header.py:1568(_update)
     1072    0.058    0.000    3.657    0.003 sky_coordinate.py:1874(_parse_coordinate_arg)
    54785    0.057    0.000    0.057    0.000 {built-in method numpy.core.multiarray.can_cast}
    13668    0.057    0.000    0.111    0.000 formats.py:521(__new__)
    13668    0.056    0.000    0.280    0.000 formats.py:977(parse_string)
53828/45788    0.056    0.000    0.269    0.000 {built-in method builtins.setattr}
     1072    0.055    0.000   14.549    0.014 sky_coordinate.py:456(transform_to)
    49315    0.054    0.000    0.118    0.000 core.py:1924(__hash__)
     2680    0.054    0.000    0.054    0.000 {method 'fix' of 'astropy.wcs.Wcsprm' objects}
     1608    0.053    0.000    0.122    0.000 core.py:832(_apply)
    82008    0.053    0.000    0.053    0.000 formats.py:707(_check_val_type)
172373/171837    0.052    0.000    0.076    0.000 {built-in method builtins.hash}
    61460    0.052    0.000    0.110    0.000 core.py:1918(decompose)
     6164    0.052    0.000    3.848    0.001 frames.py:124(__init__)
    39128    0.052    0.000    0.052    0.000 core.py:62(_normalize_equivalencies)
   108839    0.051    0.000    0.073    0.000 util.py:741(_is_int)
     3296    0.051    0.000    0.590    0.000 base.py:56(_hdu_class_from_header)
7016/7013    0.051    0.000    1.523    0.000 {built-in method _warnings.warn}
    43953    0.051    0.000    0.051    0.000 {built-in method _locale.setlocale}
    26620    0.050    0.000    0.280    0.000 core.py:934(to)
    15008    0.050    0.000    0.906    0.000 core.py:642(__div__)
     1608    0.050    0.000    0.050    0.000 {method '__deepcopy__' of 'astropy.wcs.Wcsprm' objects}
   101810    0.049    0.000    0.049    0.000 {method 'insert' of 'list' objects}
    26620    0.049    0.000    0.080    0.000 core.py:880(<lambda>)
    88700    0.049    0.000    0.072    0.000 metadata.py:399(__get__)
     1744    0.049    0.000    1.952    0.001 file.py:92(__init__)
    32785    0.049    0.000    0.078    0.000 misc.py:39(isiterable)
    16617    0.049    0.000    1.010    0.000 core.py:1973(__init__)
    11400    0.048    0.000    0.505    0.000 base.py:1040(req_cards)
